siapa nama koordinator dosen mata kuliah strategi algoritma 2018 2019?  Rinaldi Munir
siapa nama koordas strategi algoritma?  Kevin Andrian Liwinata
berapa jumlah sks minimal lulus s1 itb?  144 SKS
apa panjang sksd?  Sistem Komunikasi Satelit Domestik
tanggal berapa ada milu tahun ini?  17 April 2019
sudah berapa kali ada milu presiden?  4 Kali
milu ada berapa kali tahun?  5 tahun sekali
siapa buat anda?  Pembuat saya adalah Adyaksa Wisanggeni, Ahmad Rizqee Nurhani, Christopher Billy Setiawan
apa stack pakai buat anda?  stack yang saya pakai adalah slim PHP
apa nama ibukota indonesia?  DKI Jakarta
nama ibukota indonesia sebut jakarta adalah?  Jayakarta
siapa buat algoritma kmp?  Knuth-Morris-Prat
siapa main catur nomor satu dunia sekarang?  Magnus Carlsen
apa nama blackhole ada tengah galaksi bimasakti?  Blackhole M87
siapa nama main karakter wanita rebut dua pria lagu adu rayu?  velove vexia
berapa jumlah presiden indonesia?  Tujuh orang
tahun berapa indonesia merdeka?  1945
berapa tahun indonesia jajah jepang?  3 setengah tahun
mana soekarno proklamasi merdeka indonesia?  Jl. Pegangsaan Timur No.56
mana kantin dekat labtek 5?  Kantin Borju
siapa nama kamu?  Saia
apa kabar?  aku baik-baik saja, terima kasih sudah menanyakan
apa kamu punya pacar?  belum nih, mau ga jadi pacar aku?
siapa kamu?  aku adalah chatbot yang dibuat oleh iwang, kikoy, dan billy. Salam kenal ya hehe :)
mana kamu sekarang?  Institut Teknologi Bandung, Indonesia
ip iwang berapa?  Sarip woi!
